Date,Value,(-25%),(-18%),30.00%,52.00%
2024-10-11,493,493,493,493,493
2024-10-18,490,492,495,496,498
2024-10-25,487,490,496,498,502
2024-11-01,484,488,498,501,506
2024-11-08,481,486,499,503,510
2024-11-15,478,484,501,505,514
2024-11-22,474,482,502,508,518
2024-11-29,471,480,504,510,522
2024-12-06,468,478,505,513,527
2024-12-13,465,476,506,515,531
2024-12-20,462,474,508,517,535
2024-12-27,459,472,509,520,539
2025-01-03,455,470,511,522,543
2025-01-10,452,468,512,525,547
2025-01-17,449,466,514,527,551
2025-01-24,446,464,515,529,556
2025-01-31,443,462,516,532,560
2025-02-07,439,460,518,534,564
2025-02-14,436,458,519,536,568
2025-02-21,433,456,521,539,572
2025-02-28,430,454,522,541,576
2025-03-07,427,452,524,544,580
2025-03-14,424,450,525,546,584
2025-03-21,420,448,526,548,589
2025-03-28,417,446,528,551,593
2025-04-04,414,444,529,553,597
2025-04-11,411,442,531,556,601
2025-04-18,408,440,532,558,605
2025-04-25,404,438,534,560,609
2025-05-02,401,436,535,563,613
2025-05-09,398,434,536,565,618
2025-05-16,395,432,538,567,622
2025-05-23,392,430,539,570,626
2025-05-30,389,428,541,572,630
2025-06-06,385,426,542,575,634
2025-06-13,382,424,544,577,638
2025-06-20,379,422,545,579,642
2025-06-27,376,420,546,582,646
2025-07-04,373,418,548,584,651
2025-07-11,369,416,549,587,655
2025-07-18,366,414,551,589,659
2025-07-25,363,412,552,591,663
2025-08-01,360,410,554,594,667
2025-08-08,357,408,555,596,671
2025-08-15,354,406,556,598,675
2025-08-22,350,404,558,601,680
2025-08-29,347,402,559,603,684
2025-09-05,344,400,561,606,688
2025-09-12,341,398,562,608,692
2025-09-19,338,396,564,610,696
2025-09-26,334,394,565,613,700
2025-10-03,331,392,566,615,704
2025-10-10,328,390,568,618,709
2025-10-17,325,388,569,620,713
2025-10-24,322,386,571,622,717
2025-10-31,319,384,572,625,721
2025-11-07,315,382,574,627,725
2025-11-14,312,380,575,629,729
2025-11-21,309,378,577,632,733
2025-11-28,306,376,578,634,737
2025-12-05,303,374,579,637,742
2025-12-12,299,372,581,639,746
2025-12-19,296,370,582,641,750
