Date,QQQ_Bull,QQQ_Bear,SPY_Bull,SPY_Bear
2025-07-18,562.00,548.00,635.00,615.00
2025-07-25,568.00,545.00,640.00,608.00
2025-08-01,570.00,543.00,645.00,607.00
2025-08-08,572.00,542.00,650.00,605.00
2025-08-15,575.00,541.00,655.00,602.00
2025-08-22,580.00,540.00,660.00,598.00
2025-08-29,582.00,535.00,665.00,597.00
2025-09-05,585.00,534.00,671.00,595.00
2025-09-12,588.00,532.00,678.00,592.00
2025-09-19,590.00,530.00,684.00,590.00
2025-09-26,595.00,525.00,685.00,588.00
2025-10-03,598.00,523.00,690.00,585.00
2025-10-10,600.00,522.00,692.00,582.00
2025-10-17,605.00,519.00,693.00,580.00
2025-10-24,612.00,517.00,694.00,575.00
2025-10-31,610.00,515.00,695.00,570.00
2025-11-07,620.00,510.00,700.00,565.00
2025-11-14,628.00,505.00,708.00,560.00
2025-11-21,635.00,502.00,715.00,555.00
2025-11-28,632.00,500.00,725.00,550.00
2025-12-05,642.00,495.00,730.00,545.00
2025-12-12,655.00,485.00,735.00,540.00
2025-12-19,660.00,482.00,740.00,535.00
2025-12-26,666.00,472.00,750.00,531.00
