Here are the **Friday values** for the next year with both **52% upside** and **44% downside** scenarios:

| Date         | 52% Upside (₹) | 44% Downside (₹) |
|-------------|---------------|------------------|
| 07-Mar-2025 | 574           | 574              |
| 14-Mar-2025 | 579           | 568              |
| 21-Mar-2025 | 584           | 562              |
| 28-Mar-2025 | 589           | 556              |
| 04-Apr-2025 | 593           | 549              |
| 11-Apr-2025 | 598           | 543              |
| 18-Apr-2025 | 603           | 537              |
| 25-Apr-2025 | 608           | 531              |
| 02-May-2025 | 613           | 526              |
| 09-May-2025 | 618           | 520              |
| 16-May-2025 | 623           | 514              |
| 23-May-2025 | 628           | 508              |
| 30-May-2025 | 633           | 503              |
| 06-Jun-2025 | 638           | 497              |
| 13-Jun-2025 | 643           | 492              |
| 20-Jun-2025 | 648           | 486              |
| 27-Jun-2025 | 653           | 481              |
| 04-Jul-2025 | 659           | 475              |
| 11-Jul-2025 | 664           | 470              |
| 18-Jul-2025 | 669           | 465              |
| 25-Jul-2025 | 675           | 460              |
| 01-Aug-2025 | 680           | 455              |
| 08-Aug-2025 | 686           | 450              |
| 15-Aug-2025 | 691           | 445              |
| 22-Aug-2025 | 697           | 440              |
| 29-Aug-2025 | 702           | 435              |
| 05-Sep-2025 | 708           | 430              |
| 12-Sep-2025 | 714           | 425              |
| 19-Sep-2025 | 720           | 421              |
| 26-Sep-2025 | 725           | 416              |
| 03-Oct-2025 | 731           | 411              |
| 10-Oct-2025 | 737           | 407              |
| 17-Oct-2025 | 743           | 402              |
| 24-Oct-2025 | 749           | 398              |
| 31-Oct-2025 | 755           | 393              |
| 07-Nov-2025 | 761           | 389              |
| 14-Nov-2025 | 768           | 385              |
| 21-Nov-2025 | 774           | 380              |
| 28-Nov-2025 | 780           | 376              |
| 05-Dec-2025 | 786           | 372              |
| 12-Dec-2025 | 793           | 368              |
| 19-Dec-2025 | 799           | 364              |
| 26-Dec-2025 | 805           | 360              |
| 02-Jan-2026 | 812           | 356              |
| 09-Jan-2026 | 819           | 352              |
| 16-Jan-2026 | 825           | 348              |
| 23-Jan-2026 | 832           | 344              |
| 30-Jan-2026 | 839           | 340              |
| 06-Feb-2026 | 845           | 337              |
| 13-Feb-2026 | 852           | 333              |
| 20-Feb-2026 | 859           | 329              |
| 27-Feb-2026 | 866           | 326              |
