,Date,SPY Base,SPY ±1σ,SPY ±2σ,QQQ Base,QQQ ±1σ,QQQ ±2σ
0,2025-10-31,691,677–706,662–720,638,620–656,603–674
1,2025-11-07,694,679–708,665–722,640,623–658,605–676
2,2025-11-14,696,682–711,667–725,643,625–660,607–678
3,2025-11-21,698,684–713,669–728,645,627–663,609–681
4,2025-11-28,701,686–715,672–730,647,629–665,611–683
5,2025-12-05,703,689–718,674–733,649,631–667,613–685
6,2025-12-12,706,691–721,676–735,652,634–670,616–688
7,2025-12-19,708,694–723,679–738,654,636–672,618–690
8,2025-12-26,711,696–726,681–740,656,638–674,620–693
9,2026-01-02,713,698–728,684–743,659,640–677,622–695
10,2026-01-09,716,701–731,686–746,661,643–679,624–697
11,2026-01-16,718,703–733,688–748,663,645–682,626–700
12,2026-01-23,721,706–736,691–751,665,647–684,629–702
13,2026-01-30,723,708–738,693–753,668,649–686,631–705
14,2026-02-06,726,711–741,696–756,670,652–689,633–707
15,2026-02-13,728,713–744,698–759,672,654–691,635–710
16,2026-02-20,731,716–746,701–761,675,656–694,637–712
17,2026-02-27,733,718–749,703–764,677,658–696,640–715
18,2026-03-06,736,721–751,705–767,680,661–698,642–717
19,2026-03-13,739,723–754,708–769,682,663–701,644–720
20,2026-03-20,741,726–757,710–772,684,665–703,646–722
21,2026-03-27,744,728–759,713–775,687,668–706,649–725
22,2026-04-03,746,731–762,715–777,689,670–708,651–727
23,2026-04-10,749,733–765,718–780,692,672–711,653–730
24,2026-04-17,752,736–767,720–783,694,675–713,655–732
25,2026-04-24,754,739–770,723–786,696,677–716,658–735
26,2026-05-01,757,741–773,725–788,699,679–718,660–738
27,2026-05-08,760,744–775,728–791,701,682–721,662–740
28,2026-05-15,762,746–778,731–794,704,684–723,665–743
29,2026-05-22,765,749–781,733–797,706,687–726,667–745
30,2026-05-29,768,752–784,736–799,709,689–728,669–748
31,2026-06-05,770,754–786,738–802,711,691–731,672–751
32,2026-06-12,773,757–789,741–805,714,694–733,674–753
33,2026-06-19,776,760–792,743–808,716,696–736,676–756
34,2026-06-26,778,762–795,746–811,719,699–739,679–758
35,2026-07-03,781,765–797,749–814,721,701–741,681–761
36,2026-07-10,784,768–800,751–816,724,704–744,684–764
37,2026-07-17,787,770–803,754–819,726,706–746,686–766
38,2026-07-24,789,773–806,757–822,729,709–749,688–769
39,2026-07-31,792,776–809,759–825,731,711–752,691–772
40,2026-08-07,795,778–811,762–828,734,714–754,693–775
41,2026-08-14,798,781–814,764–831,736,716–757,696–777
42,2026-08-21,800,784–817,767–834,739,719–759,698–780
43,2026-08-28,803,787–820,770–837,742,721–762,700–783
44,2026-09-04,806,789–823,773–840,744,724–765,703–785
45,2026-09-11,809,792–826,775–843,747,726–767,705–788
46,2026-09-18,812,795–829,778–845,749,729–770,708–791
47,2026-09-25,815,798–831,781–848,752,731–773,710–794
48,2026-10-02,817,800–834,783–851,755,734–776,713–796
49,2026-10-09,820,803–837,786–854,757,736–778,715–799
50,2026-10-16,823,806–840,789–857,760,739–781,718–802
51,2026-10-23,826,809–843,792–860,763,741–784,720–805
